State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
New Hampshire,376.92000000000002,449,285.56999999999999,472,550.95000000000005,40,2014-02-01
New Jersey,354.73000000000002,2322,292.56999999999999,2934,230.03999999999999,199,2014-02-01
New Mexico,293.37,588,205.27000000000001,452,63.700000000000003,42,2014-02-01
New York,352.35000000000002,6051,268.5,6115,190.16,497,2014-02-01
North Carolina,355.37,2921,247.41999999999999,2003,151.41999999999999,236,2014-02-01
North Dakota,409.27999999999997,143,335.38,216,331.89999999999998,15,2014-02-01
Ohio,336.64999999999998,3182,213.69,2964,167.25999999999999,414,2014-02-01
Oklahoma,364.38999999999999,791,228.53,715,120.16,136,2014-02-01
Oregon,212.44,1677,188.96000000000001,1384,174.52000000000001,65,2014-02-01
Maryland,379.62,2063,250.16,1641,194.99000000000001,154,2014-02-01
Massachusetts,352.83999999999997,2996,296.87,2581,220.80000000000001,226,2014-02-01
Michigan,298.18000000000001,3162,276.58999999999997,2645,228.03999999999999,233,2014-02-01
Minnesota,370.39999999999998,1787,278.00999999999999,1629,181.28,103,2014-02-01
Mississippi,338.86000000000001,430,149.19,369,143.99000000000001,105,2014-02-01
Missouri,367.31,1635,242.19,1356,149.58000000000001,214,2014-02-01
Pennsylvania,371.47000000000003,4025,266.60000000000002,3397,193.02000000000001,384,2014-02-01
Rhode Island,333.51999999999998,548,261.14999999999998,377,201.75,34,2014-02-01
South Carolina,346.43000000000001,1209,202.00999999999999,949,171.19999999999999,125,2014-02-01
South Dakota,389.89999999999998,170,369,174,125.68000000000001,20,2014-02-01
Tennessee,358.19,1627,225.31999999999999,1302,196.86000000000001,157,2014-02-01
Texas,342.06999999999999,6250,235.99000000000001,5980,142.88,888,2014-02-01
Utah,293.06,712,233.19999999999999,718,168.59,44,2014-02-01
Vermont,377.22000000000003,289,321.36000000000001,242,187.63999999999999,25,2014-02-01
Virginia,373.81,2585,287.77999999999997,2078,225.75999999999999,218,2014-02-01
Washington,235.43000000000001,2433,191.21000000000001,2465,153.13999999999999,114,2014-02-01
West Virginia,364.27999999999997,379,197.44999999999999,390,158.30000000000001,41,2014-02-01
Wisconsin,357.72000000000003,1698,270.50999999999999,1451,233.38999999999999,133,2014-02-01
Wyoming,354.02999999999997,94,378.63999999999999,137,161.30000000000001,11,2014-02-01
Alabama,340.13999999999999,1140,202.41999999999999,1034,146.33000000000001,133,2014-03-01
Alaska,286.77999999999997,281,252.50999999999999,323,388.57999999999998,26,2014-03-01
Arizona,303.05000000000001,2093,209.47999999999999,1774,195.16,239,2014-03-01
Arkansas,357.73000000000002,630,182.91,593,126.75,125,2014-03-01
California,247.59999999999999,12988,192.97,13906,191.40000000000001,839,2014-03-01
Colorado,237.65000000000001,2398,197.59,1984,226.22,145,2014-03-01
Connecticut,347.00999999999999,1389,274.19,1457,252.31,95,2014-03-01
Delaware,371.68000000000001,376,227.71000000000001,295,206.61000000000001,36,2014-03-01
District of Columbia,350.61000000000001,479,294.20999999999998,387,208.53,41,2014-03-01
Florida,305.18000000000001,7138,219.71000000000001,5810,153.21000000000001,549,2014-03-01
Georgia,330.86000000000001,3368,213.93000000000001,2469,151.91999999999999,240,2014-03-01
Hawaii,307.95999999999998,353,274.35000000000002,382,167.62,27,2014-03-01
Idaho,275.60000000000002,335,256.69,490,129.38999999999999,24,2014-03-01
Illinois,358.11000000000001,4357,287.38,3958,177.97999999999999,362,2014-03-01
Indiana,334.50999999999999,1827,208.00999999999999,1593,168.44,262,2014-03-01
Iowa,370.98000000000002,751,291.45999999999998,715,247.69,107,2014-03-01
Kansas,352.31999999999999,898,261,706,114.26000000000001,114,2014-03-01
Kentucky,337.49000000000001,1104,181.16,1068,124.52,142,2014-03-01
Louisiana,373.08999999999997,1170,242.63,955,149.38,248,2014-03-01
Maine,319.72000000000003,481,258.31999999999999,468,213.47999999999999,53,2014-03-01
