State|HighQ|HighQN|date
District of Columbia|347.06|507|2014-05-01
Florida|304.38|7727|2014-05-01
Georgia|329.01999999999998|3622|2014-05-01
Hawaii|314.52999999999997|377|2014-05-01
Idaho|276.49000000000001|357|2014-05-01
Illinois|356.64999999999998|4640|2014-05-01
Indiana|334.97000000000003|1945|2014-05-01
Iowa|368.87|795|2014-05-01
Kansas|350.31|962|2014-05-01
Kentucky|339.08999999999997|1194|2014-05-01
Louisiana|370.67000000000002|1244|2014-05-01
Maine|317.35000000000002|517|2014-05-01
Montana|268.22000000000003|639|2014-05-01
Nebraska|344.10000000000002|591|2014-05-01
Nevada|268.25999999999999|1029|2014-05-01
New Hampshire|359.58999999999997|488|2014-05-01
New Jersey|351.63999999999999|2538|2014-05-01
New Mexico|290.88|641|2014-05-01
New York|349|6544|2014-05-01
North Carolina|352.38|3284|2014-05-01
North Dakota|391.23000000000002|169|2014-05-01
Ohio|336.14999999999998|3516|2014-05-01
Oklahoma|366.06|870|2014-05-01
Oregon|210.12|1816|2014-05-01
Maryland|374.62|2296|2014-05-01
Massachusetts|350.75999999999999|3294|2014-05-01
Michigan|295.19999999999999|3400|2014-05-01
Minnesota|367.61000000000001|1980|2014-05-01
Mississippi|341.5|487|2014-05-01
Missouri|368.41000000000003|1823|2014-05-01
Pennsylvania|368.32999999999998|4489|2014-05-01
Rhode Island|329.98000000000002|592|2014-05-01
South Carolina|343.27999999999997|1355|2014-05-01
South Dakota|387.60000000000002|179|2014-05-01
Tennessee|355.45999999999998|1820|2014-05-01
Texas|339.48000000000002|6901|2014-05-01
Utah|290.18000000000001|789|2014-05-01
Vermont|376.44|314|2014-05-01
Virginia|370.43000000000001|2838|2014-05-01
Washington|233.36000000000001|2675|2014-05-01
West Virginia|354.77999999999997|443|2014-05-01
Wisconsin|355.12|1852|2014-05-01
Wyoming|349.94999999999999|107|2014-05-01
Alabama|340.51999999999998|1301|2014-06-01
Alaska|286.08999999999997|307|2014-06-01
Arizona|302.29000000000002|2271|2014-06-01
Arkansas|350.20999999999998|701|2014-06-01
California|245.71000000000001|14178|2014-06-01
Colorado|236.90000000000001|2662|2014-06-01
Connecticut|343.81|1508|2014-06-01
Delaware|368.97000000000003|410|2014-06-01
District of Columbia|346.85000000000002|527|2014-06-01
Florida|303.16000000000003|7979|2014-06-01
Georgia|327.17000000000002|3730|2014-06-01
Hawaii|313.33999999999997|383|2014-06-01
Idaho|275.69999999999999|367|2014-06-01
Illinois|356.17000000000002|4748|2014-06-01
Indiana|333.55000000000001|2000|2014-06-01
Iowa|367.37|817|2014-06-01
Kansas|349.80000000000001|987|2014-06-01
Kentucky|339.39999999999998|1230|2014-06-01
Louisiana|367.56|1285|2014-06-01
Maine|317.82999999999998|528|2014-06-01
Montana|268|652|2014-06-01
Nebraska|343.86000000000001|603|2014-06-01
Nevada|268.16000000000003|1052|2014-06-01
New Hampshire|359.42000000000002|501|2014-06-01
New Jersey|350.89999999999998|2596|2014-06-01
New Mexico|290.23000000000002|656|2014-06-01
New York|347.79000000000002|6693|2014-06-01
North Carolina|350.82999999999998|3394|2014-06-01
North Dakota|400.69|177|2014-06-01
Ohio|335.88999999999999|3598|2014-06-01
Oklahoma|366.05000000000001|893|2014-06-01
Oregon|209.53999999999999|1858|2014-06-01
Maryland|372.43000000000001|2363|2014-06-01
Massachusetts|350.74000000000001|3396|2014-06-01
Michigan|294.70999999999998|3489|2014-06-01
Minnesota|366.38|2029|2014-06-01
Mississippi|337.81|511|2014-06-01
Missouri|363.39999999999998|1876|2014-06-01
Pennsylvania|367.25999999999999|4614|2014-06-01
Rhode Island|328.47000000000003|612|2014-06-01
South Carolina|343.88|1391|2014-06-01
South Dakota|383.04000000000002|185|2014-06-01
Tennessee|354.50999999999999|1878|2014-06-01
Texas|338.36000000000001|7072|2014-06-01
Utah|289.26999999999998|807|2014-06-01
Vermont|376.94|316|2014-06-01
Virginia|369.44999999999999|2924|2014-06-01
Washington|232.59999999999999|2740|2014-06-01
West Virginia|355.22000000000003|462|2014-06-01
Wisconsin|354.58999999999997|1897|2014-06-01
Wyoming|350.72000000000003|108|2014-06-01
Alabama|340.83999999999997|1337|2014-07-01
Alaska|288.79000000000002|316|2014-07-01
Arizona|300.57999999999998|2321|2014-07-01
Arkansas|349.29000000000002|727|2014-07-01
California|245.38999999999999|14539|2014-07-01
Colorado|238.09|2734|2014-07-01
Connecticut|343.38|1542|2014-07-01
Delaware|367.66000000000003|426|2014-07-01
District of Columbia|345.75|550|2014-07-01
Florida|302.48000000000002|8192|2014-07-01
Georgia|326.91000000000003|3846|2014-07-01
Hawaii|312.12|391|2014-07-01
Idaho|276.82999999999998|380|2014-07-01
Illinois|355.81999999999999|4870|2014-07-01
Indiana|333.04000000000002|2061|2014-07-01
Iowa|366.98000000000002|840|2014-07-01
Kansas|350.11000000000001|1005|2014-07-01
Kentucky|338.06|1269|2014-07-01
Louisiana|366.92000000000002|1325|2014-07-01
Maine|317.45999999999998|536|2014-07-01
Montana|267.42000000000002|667|2014-07-01
Nebraska|343.30000000000001|615|2014-07-01
Nevada|267.86000000000001|1075|2014-07-01
New Hampshire|358.5|516|2014-07-01
New Jersey|349.83999999999997|2656|2014-07-01
New Mexico|290.38999999999999|673|2014-07-01
New York|347.01999999999998|6837|2014-07-01
North Carolina|350.20999999999998|3487|2014-07-01
North Dakota|398.94999999999999|179|2014-07-01
Ohio|335.43000000000001|3687|2014-07-01
Oklahoma|365.31999999999999|917|2014-07-01
Oregon|208.84999999999999|1900|2014-07-01
Maryland|371.44|2440|2014-07-01
Massachusetts|350.56999999999999|3500|2014-07-01
Michigan|293.07999999999998|3569|2014-07-01
Minnesota|358.82999999999998|2073|2014-07-01
Mississippi|335.63999999999999|526|2014-07-01
Missouri|356.92000000000002|1924|2014-07-01
Pennsylvania|366.81999999999999|4754|2014-07-01
Rhode Island|324.61000000000001|625|2014-07-01
South Carolina|343.23000000000002|1426|2014-07-01
South Dakota|378.20999999999998|189|2014-07-01
