"Date_received","Submitted_via","count"
"12/15/2013","Web",88
"10/05/2013","Phone",1
"10/05/2013","Web",84
"11/16/2013","Phone",4
"11/16/2013","Referral",2
"11/16/2013","Web",143
"12/19/2011","Fax",3
"12/19/2011","Referral",26
"12/19/2011","Phone",11
"12/19/2011","Web",51
"09/15/2019","Web",364
"10/16/2016","Web",246
"01/12/2013","Phone",4
"01/12/2013","Postal mail",49
"01/12/2013","Fax",13
"01/12/2013","Referral",57
"01/12/2013","Web",63
"03/07/2015","Postal mail",3
"03/07/2015","Referral",3
"03/07/2015","Phone",7
"03/07/2015","Web",185
"03/16/2012","Email",1
"03/16/2012","Postal mail",4
"03/16/2012","Fax",2
"03/16/2012","Phone",22
"03/16/2012","Web",72
"03/16/2012","Referral",45
"09/28/2019","Postal mail",2
"09/28/2019","Phone",1
"09/28/2019","Fax",5
"09/28/2019","Referral",17
"09/28/2019","Web",449
"07/17/2019","Fax",28
"07/17/2019","Referral",98
"07/17/2019","Phone",66
"07/17/2019","Postal mail",61
"07/17/2019","Web",801
"03/26/2012","Fax",1
"03/26/2012","Email",1
"03/26/2012","Phone",30
"03/26/2012","Referral",213
"03/26/2012","Web",100
"04/26/2019","Fax",11
"04/26/2019","Postal mail",9
"04/26/2019","Referral",70
"04/26/2019","Phone",57
"04/26/2019","Web",724
"06/02/2012","Phone",2
"06/02/2012","Fax",4
"06/02/2012","Referral",9
"06/02/2012","Web",38
"06/02/2012","Postal mail",120
"12/09/2012","Web",38
"07/03/2016","Web",157
"10/27/2019","Web",400
"10/23/2016","Web",196
"02/12/2017","Web",313
"04/29/2019","Fax",9
"04/29/2019","Postal mail",13
"04/29/2019","Referral",75
"04/29/2019","Phone",62
"04/29/2019","Web",678
"12/16/2012","Web",48
"10/03/2015","Phone",2
"10/03/2015","Web",177
"08/19/2019","Fax",14
"08/19/2019","Postal mail",46
"08/19/2019","Referral",51
"08/19/2019","Phone",81
"08/19/2019","Web",681
"03/03/2012","Phone",1
"03/03/2012","Web",45
"02/04/2012","Postal mail",1
"02/04/2012","Web",35
"02/17/2012","Fax",1
"02/17/2012","Phone",10
"02/17/2012","Postal mail",3
"02/17/2012","Web",88
"02/17/2012","Referral",106
"05/15/2019","Fax",10
"05/15/2019","Referral",92
"05/15/2019","Phone",79
"05/15/2019","Postal mail",36
"05/15/2019","Web",759
"09/01/2014","Web",106
"11/09/2013","Referral",10
"11/09/2013","Phone",5
"11/09/2013","Web",127
"05/07/2019","Fax",11
"05/07/2019","Postal mail",17
"05/07/2019","Referral",61
"05/07/2019","Phone",66
"05/07/2019","Web",793
"12/23/2011","Fax",1
"12/23/2011","Postal mail",2
"12/23/2011","Phone",3
"12/23/2011","Web",39
"12/23/2011","Referral",15
"03/22/2015","Web",147
"04/05/2015","Web",92
"09/29/2019","Web",361
"08/16/2015","Web",185
"05/12/2013","Referral",1
"05/12/2013","Web",57
"01/31/2016","Web",144
"10/25/2015","Web",164
"04/19/2019","Postal mail",2
"04/19/2019","Fax",5
"04/19/2019","Phone",50
"04/19/2019","Referral",93
"04/19/2019","Web",645
"08/10/2013","Phone",3
"08/10/2013","Postal mail",17
"08/10/2013","Fax",11
"08/10/2013","Referral",38
"08/10/2013","Web",112
"11/27/2016","Web",173
"12/26/2012","Phone",18
"12/26/2012","Fax",9
"12/26/2012","Postal mail",10
"12/26/2012","Web",102
"12/26/2012","Referral",25
"11/02/2013","Referral",1
"11/02/2013","Web",146
"12/28/2011","Postal mail",1
"12/28/2011","Phone",9
